Lerwick						
"Location: 445300E 1139700N, Lat 60.139 Lon -1.183, 82 metres amsl"						
Estimated data is marked with a * after the value.						
Missing data (more than 2 days missing in month) is marked by  ---.						
"Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder."						
yyyy	mm	tmax	tmin	af	rain	sun
		degC	degC	days	mm	hours
1992	1	7.2	3.2	5	105.5	14.4
1992	2	6.9	2.7	2	146.8	47.9
1992	3	6.7	1.8	7	115.1	74.4
1992	4	7.7	3.6	0	94.7	105
1992	5	12	6.2	1	74.8	233.1
1992	6	14.7	9	0	31.8	236.1
1992	7	14.2	9.4	0	57.9	137.8
1992	8	14.1	9.2	0	126.8	123.7
1992	9	12.1	8.7	0	112.1	51.2
1992	10	8.8	4.1	0	77.2	88
1992	11	7.4	3.2	3	207.7	26.4
1992	12	6.2	1.9	2	123.2	12.5
1993	1	5.7	0.9	8	226.6	10.1
1993	2	6.2	2.4	7	114.5	25
1993	3	6.7	2.3	8	123.9	82.5
1993	4	8.1	3.8	1	75.6	128.2
1993	5	10.2	5.3	0	45.9	155.7
1993	6	11.3	6.6	0	46.5	123.8
1993	7	12.4	8.1	0	51.4	85.8
1993	8	12.8	8.6	0	53.1	89.6
1993	9	11.9	7.6	0	38.1	114.6
1993	10	8.5	5.3	2	99.7	46.7
1993	11	7.4	3.9	1	64.2	35.6
1993	12	4.6	0.6	9	179.7	17.7
1994	1	5	0.4	13	241.7	15.3
1994	2	4.2	1	8	74.9	53.5
1994	3	5.5	0.6	11	206	101.8
1994	4	7.7	2.8	1	89.4	151.4
1994	5	9.7	4.1	0	33.6	251.9
1994	6	11.5	6.9	0	99.8	138.2
1994	7	15.1	10	0	25.1	144
1994	8	14.2	9.8	0	85.7	144.2
1994	9	12	7.4	0	140.7	124.3
1994	10	9.5	4.9	4	108.9	77.8
1994	11	9	5.3	0	140.9	29.7
1994	12	6.5	2.2	5	210.1	13.7
1995	1	5.1	0.6	13	164.9	24.8
1995	2	4.9	0.2	11	133.5	87
1995	3	5.3	0.4	13	154.1	105.2
1995	4	7.2	2.6	6	63	125.8
1995	5	9.2	4.5	1	30.9	155.7
1995	6	12.7	7.4	0	33.8	183.8
1995	7	14.1	9.1	0	54.7	165.8
1995	8	15.1	10.4	0	49.5	132.6
1995	9	13.1	9	0	139.3	103.6
1995	10	11.6	6.9	0	113.9	80.5
1995	11	8.2	4.4	2	110.4	29.3
1995	12	4.4	0.6	13	232.1	28
1996	1	6.1	3.5	1	44.5	11.8
1996	2	4.4	0.4	8	118.6	43
1996	3	5.4	1.6	6	70.8	55.6
1996	4	8.3	3.9	3	59.2	112.4
1996	5	9.1	3.6	2	51.9	200.3
1996	6	12.3	7.9	0	33.1	117.2
1996	7	13.3	8.9	0	85.2	94.2
1996	8	14.7	11.1	0	58.7	75.6
1996	9	13.1	8.9	0	49.1	124.4
1996	10	10.8	7.2	0	142.9	56.8
1996	11	5.8	1.1	11	170.5	56.6
1996	12	5.4	1	13	107.5	40.9
1997	1	6.4	2.9	4	67.2	44.6
1997	2	6.7	1.4	5	175.1	50.6
1997	3	6.9	2.8	5	151.9	70.3
1997	4	7.6	2.8	4	110.4	92.5
1997	5	9.8	4.8	1	49.7	172.4
1997	6	12.2	7.5	0	41	129.3
1997	7	15.2	10.5	0	32.3	131.8
1997	8	16.7	11.8	0	75.9	202.1
1997	9	13	8.7	0	86.6	109.3
1997	10	9.9	5.7	0	101	71.6
1997	11	8.5	6	0	108.4	11.2
1997	12	7.5	3.8	2	96.8	27.8
1998	1	6.5	2.5	5	105.3	22.1
1998	2	7.5	3.3	3	214.9	33.9
1998	3	6.6	1.9	10	144.8	74.4
1998	4	7.6	3.1	7	50.8	170.3
1998	5	11.1	6	0	31.4	199.6
1998	6	11.8	6.9	0	105	202.8
1998	7	12.9	9.6	0	75.9	82.8
1998	8	12.9	9.5	0	79.3	86.4
1998	9	13.1	9.8	0	116.5	63.1
1998	10	9.3	5.5	0	182.3	84.4
1998	11	7.4	3.4	2	160.7	57.7
1998	12	7	2.6	7	170	20.5
1999	1	5.7	2.4	5	139.2	34.1
1999	2	4.7	0.5	12	202.8	66.5
1999	3	7	2.9	1	93.9	111.4
1999	4	8.6	4	5	77	148.4
1999	5	9.9	5.3	0	86.5	206.1
1999	6	11.7	8	0	89.4	110.9
1999	7	13.7	9.4	0	53	124.7
1999	8	14.4	9.7	0	74.2	154.7
1999	9	13.8	10.6	0	143.8	89.2
1999	10	10.7	6.9	0	156.2	59.8
1999	11	8.9	4.8	2	151.3	31.8
1999	12	5.2	0.9	8	274.2	12.6
2000	1	6.5	2.4	4	156.7	29.8
2000	2	6.1	1.3	7	160.7	68.4
2000	3	6.9	2.2	8	158.3	85.6
2000	4	7.2	3	6	83.5	118.7
2000	5	11.2	6.2	0	42.6	223.2
2000	6	11.3	7	0	77.7	152.3
2000	7	12.9	9.3	0	28.2	87.9
2000	8	14	9.9	0	87.5	109.2
2000	9	12.8	9.7	0	145.6	91.7
2000	10	11	7.5	0	144.9	92.1
2000	11	8.4	4.8	0	182.4	59.2
2000	12	6.3	3.1	9	140.4	16.3
2001	1	6	2.9	0	79.7	40.9
2001	2	3.9	-0.1	15	140.3	84.9
2001	3	5.3	0.7	12	95.3	121.1
2001	4	7.5	3	2	65.2	158.7
2001	5	11	6	0	29.7	186.2
2001	6	11.7	7.1	0	54	138.6
2001	7	13.4	9.8	0	78.8	94.9
2001	8	14.2	10.2	0	88.1	122.6
2001	9	12.1	8.5	0	71.1	71.4
2001	10	11.7	9.3	0	122.1	55.7
2001	11	7.9	2.8	6	160.2	24.2
2001	12	6.1	1.6	10	150.3	31.2
2002	1	7	3.2	4	170.3	22
2002	2	5.5	1.2	9	161.1	72
2002	3	6.9	2.1	8	94.9	122.7
2002	4	8.8	4.8	1	55.2	120.1
2002	5	10.9	6.9	0	70.2	170
2002	6	14.6	9.7	0	63.3	196.4
2002	7	14.6	10	0	56.8	129.3
2002	8	16	11.6	0	54.6	115.8
2002	9	13.9	10	0	44.4	89.2
2002	10	9.4	5.4	0	93.8	99.7
2002	11	7.9	5.1	1	143.8	41.4
2002	12	6.2	3.5	1	119.6	11.3
2003	1	6.2	1.8	10	198.9	42.1
2003	2	6.2	2.8	4	53.3	69.6
2003	3	8.6	4.3	0	72.6	104.6
2003	4	9.1	4.8	0	31.4	147.4
2003	5	10.7	6.2	1	87.4	148.8
2003	6	14	9.7	0	89.8	109.8
2003	7	16.6	12.1	0	39.6	169
2003	8	16.2	11.6	0	53.9	174.8
2003	9	13.8	9	0	111.8	124.2
2003	10	9.4	5.3	0	125.6	105.8
2003	11	9.5	5.2	0	120	51.6
2003	12	7	2.3	7	146.6	23.8
2004	1	5.7	2.1	5	152.3	38.2
2004	2	6.1	1.9	13	104.2	46.9
2004	3	7.7	3.5	1	92.6	119.2
2004	4	9.4	5.4	0	77	111.8
2004	5	11.1	6.5	0	61.6	125.2
2004	6	12.6	8.4	0	87.2	136.5
2004	7	13.8	9.8	0	38.8	137.1
2004	8	15.6	11.6	0	121.2	194.9
2004	9	13.5	9	0	94.4	136.7
2004	10	10.4	7.3	0	126.4	62.3
2004	11	8.1	3.7	6	138.3	32.5
2004	12	7.7	3.3	6	153.2	23.8
2005	1	6.5	2.4	5	194.2	23.7
2005	2	5.5	2.1	4	117.3	70.5
2005	3	6.8	2.6	8	121.9	87.7
2005	4	8.6	4.4	2	71.1	128.3
2005	5	9.7	4.9	0	80.7	169.7
2005	6	12.4	8	0	95.4	135
2005	7	14.1	10.1	0	58.4	110.1
2005	8	13.9	10.1	0	89.2	100.2
2005	9	12.9	8.8	0	141.8	90.3
2005	10	11	7.9	0	141.8	71.1
2005	11	8.3	4.2	3	152.6	49.3
2005	12	6.9	3	7	107.7	14.9
2006	1	7	3.7	2	93.2	34.2
2006	2	6.1	2.5	3	110.7	52
2006	3	4.2	0.3	11	112.1	88.8
2006	4	7.7	2.4	4	93.2	180.9
2006	5	10.4	5.3	0	54.2	253.4
2006	6	12.9	8.4	0	74	140.5
2006	7	16	11.5	0	69	146.3
2006	8	15.2	11.4	0	70	106.2
2006	9	14.4	11	0	91.8	50.4
2006	10	11.4	8	0	183.6	77.7
2006	11	9.1	5	0	204.6	35
2006	12	8.1	4.7	1	165.2	15.6
2007	1	6.8	2.1	6	194.8	29.3
2007	2	6.1	2.7	3	153.9	49.6
2007	3	7.7	3.7	3	107.7	118.4
2007	4	9.9	5.1	1	58.6	111.8
2007	5	10.4	5.4	0	58.6	182.5
2007	6	12.4	8.2	0	12.4	121.4
2007	7	13.7	9.9	0	104.8	78.8
2007	8	13.5	9.6	0	118	118
2007	9	11.8	7.5	0	128.6	93.4
2007	10	11.2	7.3	0	70.4	56.7
2007	11	7.6	3.3	3	146.6	36.9
2007	12	7	3.3	2	89.8	26.1
2008	1	6.1	1.8	2	219	29.8
2008	2	7.3	3.1	2	96.9	42.4
2008	3	6.1	1.3	10	116.9	135.6
2008	4	8.3	3.8	1	66.7	151.9
2008	5	11.9	6.5	0	7.4	222.1#
2008	6	12.5	8.5	0	81	95.3#
2008	7	15.4	11	0	101.4	133.1#
2008	8	15.5	11.1	0	77.1	153.8#
2008	9	13.8	10.1	0	60	76.5#
2008	10	10.1	5.4	1	179.8	69.3#
2008	11	7.7	3.4	4	120.2	29.6#
2008	12	6.8	2.7	3	133.4	17.5#
2009	1	6.5	2.5	7	117.8	34.1#
2009	2	5.2	1.4	10	135.5	47.8#
2009	3	7.5	3.1	1	131.4	88.7#
2009	4	9.6	5.8	0	45	120.0#
2009	5	11.6	6.6	0	68.8	235.5#
2009	6	13.7	8	0	39.8	239.8#
2009	7	15.6	11.4	0	66.8	115.0#
2009	8	15.3	11	0	119.4	122.4#
2009	9	13.5	9.8	0	77.2	105.8#
2009	10	10.3	6.4	0	163.8	57.2#
2009	11	8.7	5.8	1	216.4	32.9#
2009	12	5.6	1.9	12	101.7	28.3#
2010	1	4.3	0.5	13	113.7	38.5*
2010	2	3.6	-0.7	17	143.1	80.3#
2010	3	6.8	2.7	4	86.5	102.7#
2010	4	8.3	3.7	2	72	110.5#
2010	5	9.8	4.6	1	39	196.9#
2010	6	12.6	8.5	0	21	71.6#
2010	7	14.7	10.4	0	140.2	163.2#
2010	8	14.3	10.2	0	93.8	84.4#
2010	9	12.7	8.9	0	101.2	140.4#
2010	10	10.1	6.4	0	92.9	82.1#
2010	11	5.5	1.6	6	117	36.8#
2010	12	3.7	-1.2	21	64.5	32.1#
2011	1	5.8	1.9	9	94	27.6#
2011	2	5.9	2.3	1	139.3	48.6#
2011	3	6.7	2.4	7	60.1	82.7#
2011	4	10.6	5.9	0	32.4	163.5#
2011	5	11.2	6.6	0	115.2	163.9#
2011	6	13	8.1	0	60	141.7#
2011	7	13.7	9.9	0	61	64.4#
2011	8	14.1	10.1	0	114.2	120.9#
2011	9	13.6	9.6	0	83.6	108.2#
2011	10	10.9	7.1	0	117	78.6#
2011	11	10.4	7	0	128.6	29.0#
2011	12	6.1	1.3	9	241	12.8#
2012	1	6	1.9	1	162.1	22.1#
2012	2	7.2	3.2	3	100.3	44.3#
