Stornoway						
"Location: 146400E 933200N, Lat 58.214 Lon -6.318, 15 metres amsl"						
Estimated data is marked with a * after the value.						
Missing data (more than 2 days missing in month) is marked by  ---.						
"Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder."						
yyyy	mm	tmax	tmin	af	rain	sun
		degC	degC	days	mm	hours
1992	1	8.5	4	1	72.7	15.6
1992	2	8.3	3.4	2	145.7	45.3
1992	3	8.2	2.5	4	158.2	67
1992	4	9.5	4.6	0	94.1	104.2
1992	5	14.5	6.9	0	50.2	247.8
1992	6	15.9	9.6	0	33.5	186.5
1992	7	15.3	10.3	0	127.8	110.6
1992	8	15.1	10.1	0	191.2	123.3
1992	9	13.4	7.9	0	149.1	87
1992	10	10	4.6	1	130.7	68.2
1992	11	8.4	3.3	0	170.7	32.6
1992	12	7.1	2.2	8	123.3	14.1
1993	1	7.2	1.5	5	274.7	18.3
1993	2	8.2	4.7	2	57.1	22.9
1993	3	8.4	3.3	5	79.7	103.7
1993	4	10	5.1	0	79.9	140.9
1993	5	11.1	5.7	0	52.8	217.1
1993	6	13.5	8.9	0	89.3	102.2
1993	7	14.3	9.5	0	81.1	70.1
1993	8	14.6	9.4	0	44.9	86.9
1993	9	13.7	8.7	0	37.9	114.7
1993	10	10.1	5.8	1	78.7	53.3
1993	11	8.8	4	3	63.2	61.9
1993	12	5.8	1.5	7	178.8	21.3
1994	1	6.8	1.8	6	154.3	26.7
1994	2	5.9	2.3	3	57.4	85.5
1994	3	7.2	1.9	6	163.7	98.3
1994	4	9.2	3.3	1	103.8	131.4
1994	5	11.3	5.5	0	36.2	294.1
1994	6	13.5	8.2	0	112.1	134.6
1994	7	16.4	10.8	0	49.5	146
1994	8	15	10	0	104.8	109.4
1994	9	13.4	8.3	0	130.6	121
1994	10	11.4	6.3	0	64.3	77.2
1994	11	11	6.6	0	121.4	44.1
1994	12	8.3	2.6	5	189.7	29.6
1995	1	6.6	1.1	8	212.3	30.4
1995	2	6.6	1.1	6	155.1	57.9
1995	3	6.4	0.9	13	134.6	88.4
1995	4	9.1	4	2	65.4	96.2
1995	5	11.5	5.5	3	60	156
1995	6	14.3	8.4	0	26.8	195.2
1995	7	17.3	10.6	0	57	176.9
1995	8	17.9	11.5	0	32.2	194
1995	9	14.3	8.9	0	131.2	99.6
1995	10	13.1	7.6	0	191.1	87.7
1995	11	10.2	5.3	0	121.7	50.1
1995	12	6.2	1.1	11	45.4	56.5
1996	1	8.1	4.4	2	69.5	37.8
1996	2	6.6	1.1	10	74.1	58
1996	3	7.5	2.8	3	45.1	92.9
1996	4	10.2	4.6	1	86.3	106.2
1996	5	10.8	4.4	1	68.1	234.5
1996	6	14	8.8	0	57.9	142.1
1996	7	15.2	9.8	0	80.1	107
1996	8	16	11.1	0	70.6	91.9
1996	9	15.4	10	0	74.4	150.3
1996	10	12.5	6.9	0	211.6	73.2
1996	11	7.5	1.9	8	201.1	57
1996	12	6.8	1.5	12	60.7	42.8
1997	1	7.4	2.6	9	56.8	41.8
1997	2	7.9	2	1	277.4	66.8
1997	3	9.6	4.8	1	119.5	82.8
1997	4	10.4	4.8	1	73	104
1997	5	11.7	6.2	1	85.2	196
1997	6	13.7	8.7	0	56.5	168.7
1997	7	17.4	11	0	51.5	166.8
1997	8	18.7	12.2	0	38.6	211.2
1997	9	14.5	8.9	0	105.2	113.2
1997	10	12.1	6.7	0	55.5	83
1997	11	10.8	6.3	0	98.1	47.8
1997	12	8.8	4	0	153.5	31.5
1998	1	7.8	3.2	4	181.5	33.5
1998	2	9.4	5	1	209.7	27.8
1998	3	8.4	3.6	5	143.5	63.1
1998	4	9	3.3	3	62.7	200.8
1998	5	12.8	6.9	0	30.6	168.2
1998	6	13.2	7.8	0	73.1	206.3
1998	7	15.2	10.2	0	94.9	106.6
1998	8	15.7	10.2	0	53.4	120.9
1998	9	15.3	10.3	0	54.6	123.1
1998	10	10.7	5.7	1	152.3	103.2
1998	11	9	3.5	4	158.3	64.1
1998	12	8.4	3.3	7	165.8	24.7
1999	1	7.1	2.6	4	206.3	37.8
1999	2	6.7	1.5	6	129.4	58.2
1999	3	8.5	3.2	4	153.7	108.4
1999	4	10.5	5	2	107.4	146.4
1999	5	12.6	7	0	103.8	184.1
1999	6	13.3	8.4	0	104.6	124.2
1999	7	16.4	10.6	0	70.5	176.3
1999	8	16.4	10.8	0	54.5	194
1999	9	15.3	10.4	0	118.7	114.2
1999	10	12.3	7.5	0	132.3	84.7
1999	11	9.7	4.5	1	151.8	38.1
1999	12	6.4	1.3	8	214	31.1
2000	1	7.8	3.1	0	195.1	32.8
2000	2	7.5	2.3	3	202.3	56.6
2000	3	9.2	4	2	120.7	84.6
2000	4	8.8	3.5	5	81.5	150
